Número de iterações,Acurácia
10,0.7316808464223385
20,0.7515215968586387
30,0.7807209860383943
40,0.79742037521815
50,0.8151668848167539
60,0.8276832460732985
70,0.8381599040139618
80,0.8517179319371728
90,0.8799029232111693
100,0.8882744328097731
110,0.9070571553228621
120,0.8997327661431065
130,0.9258453315881325
140,0.9237456369982547
150,0.9383671465968586
160,0.9530159249563701
170,0.9613710732984293
180,0.9707733420593367
190,0.9624072862129147
200,0.9697262216404887
210,0.9728675828970331
220,0.9728675828970331
230,0.974956369982548
240,0.9760034904013961
250,0.974956369982548
260,0.9770451570680627
270,0.978092277486911
280,0.9770451570680627
290,0.9791339441535776
300,0.9801810645724258
310,0.9801865183246073
320,0.9780868237347295
330,0.9801756108202444
340,0.981228184991274
350,0.9801810645724258
360,0.9791393979057592
370,0.981228184991274
380,0.9812227312390924
390,0.981228184991274
400,0.9822698516579406
410,0.9822698516579406
420,0.981228184991274
430,0.9822698516579406
440,0.9822698516579406
450,0.9822698516579406
460,0.981228184991274
470,0.981228184991274
480,0.9801810645724258
490,0.9801810645724258
500,0.981228184991274
